,vegetables,fruits,legumes_and_tubers,beverages_and_drinks,fish_and_seafood,oils_and_fats,condiments_and_spices,grains_and_cereals,rice_products,dairy_products,meat_products,pastries,breads,eggs
2600,,,,,PESCADO MOJARRAS,,,,,,,,,
2601,,,,,,,,,,,ARROZ VERDE CON POLLO,,,
2602,,,,,,,,,,,FIDEO PARA PERRO,,,
2603,,,,,,,AJI PANCA MOLIDA ENVASADA,,,,,,,
2604,,,,,,,,,,,,,PAN PARA CUY,
2605,PAPA SECA,,,,,,,,,,,,,
2606,,,,,,,,,,,CABEZAS DE POLLO,,,
2607,,,,,,,,,,,CHARQUI DE RES,,,
2608,,,,,,,,,,,HABAS FRESCAS,,,
2609,CUY FRITO CON PAPAS SANCO,,,,,,,,,,,,,
2610,,,,,,,,,,,POLLO DE BROSTER,,,
2611,,,,,,,,,,,,,PANES VARIADOS,
2612,SARANDAJA VERDE CON CASCA,,,,,,,,,,,,,
2613,PAPA CAMOTILLO,,,,,,,,,,,,,
2614,,,,,,,,,,,,,MEZCLAS PARA APANAR,
2615,,,,,,,,MAIZ JASPEADO,,,,,,
2616,,,,,,,,HARINA DE CHUÑO NEGRO,,,,,,
2617,,,FRIJOL ASHPA,,,,,,,,,,,
2618,,,,,,,JALLU JALLU EN RAMA PARA,,,,,,,
2619,,,,,,,,,,,ESCABECHE DE POLLO,,,
2620,,,,AGUA OZONIADA,,,,,,,,,,
2621,,,,,,,,,,,GUISO DE POLLO,,,
2622,,,,,,,COCONA EN RAMA PARA INFUS,,,,,,,
2623,,,,,,,,MAIZENA A GRANEL,,,,,,
2624,,,FRIJOL BAYO PRECOCIDA,,,,,,,,,,,
2625,,,,,,,,,,,RES DE CHANCHO CHACTADA,,,
2626,PAPA LENGUA,,,,,,,,,,,,,
2627,,,,,,,,,,,CARNE ASERRÍN PARA MASCOT,,,
2628,,,,,,,,,,,COL CRESPO,,,
2629,,,,,,,,HARINA A GRANEL PARA PERR,,,,,,
2630,,,,,,,,,,,,,PAN TORTA,
2631,,,,,,,,MAIZ MOLIDO,,,,,,
2632,,,,,,,,CLAVO CON CANELA,,,,,,
2633,,,,,,,,,,QUESO SUIZO,,,,
2634,,,,,,,SALSA BARBECUE,,,,,,,
2635,,,,,,,CANEL Y CLAVO DE OLOR ENV,,,,,,,
2636,,,,,,,ALBAHACA ESPINACA MOLIDA,,,,,,,
2637,,,,,,,,,,LECHE DE ALMENDRAS ENVASA,,,,
2638,,,,,,,,,,,,GALLETAS SALADA ENVASADA,,
2639,,PLATANO GIGANTE,,,,,,,,,,,,
2640,,,,,,,,,,LECHE ASADA (ENVASADA),,,,
2641,,,,,,,,CAL EN POLVO PARA SAZONAR,,,,,,
2642,,CHIFLES DE PLATANO ENVASA,,,,,,,,,,,,
2643,,,,FILTRANTE VARIADOS,,,,,,,,,,
2644,,,,,,,,,,,,GALLETA DE VANILLA ENVASA,,
2645,,,,,,,SALSA MENSI A GRANEL,,,,,,,
2646,,PLATANO ORDINARIO,,,,,,,,,,,,
2647,,,,,,,,,,,,GALLETA SALADA RELLENA,,
2648,,,,,,,,CANELA CLAVO DE OLOR A GR,,,,,,
2649,,,,,,,,,,LECHE LACTEA COMPUESTA CO,,,,
2650,,,,,,,,KIÓN EN POLVO ENVASADO,,,,,,
2651,,,,DIGESTIVO FILTRANTE,,,,,,,,,,
2652,,MANZANA STA ROSA,,,,,,,,,,,,
2653,,,,TE DE ROSAS FILTRANTE,,,,,,,,,,
2654,,PLATANO ORGÁNICO,,,,,,,,,,,,
2655,,,,,,,,AVENA CON FRUTO DESHIDRAT,,,,,,
2656,,,,,,,,AVENA EN HOJUELAS CON QUI,,,,,,
2657,,,,,,,,AVENA ENTERA A GRANEL,,,,,,
2658,,PLATANO MADURO ASADO,,,,,,,,,,,,
2659,,,,,,,,,,LECHE DE COCO,,,,
2660,,,,,,,ATUN EN SALSA DE TOMATE,,,,,,,
2661,,,,,,,,,,,,GALLETA RELLENITA,,
2662,,,,,,,,AVENA ENVASADA,,,,,,
2663,,,,,,,,TE CANELA FILTRANTE PARA,,,,,,
2664,,,,,,,,,,,,GALLETAS DULCE ENVASADA,,
2665,,,,,,,,,,,,GALLETAS DE ANIMALES ENVA,,
2666,,,,TE DE NARANJA FILTRANTE,,,,,,,,,,
2667,,,,,,,,PIMIENTO EN POLVO ENVASAD,,,,,,
2668,,,,TE FILTRANTE,,,,,,,,,,
2669,,,,,,,,,,CHOCOLATE CON LECHE,,,,
2670,,,,,,,,,,,OREJA DE CHANCHO,,,
2671,,,,,,,,,,,,GALLETAS INTEGRALES ENVAS,,
2672,,,,,,,,CANELA PARA INFUSION,,,,,,
2673,,,,,,,,SAZONADOR EN POLVO TUCO E,,,,,,
2674,,,,,,,,CANELA MOLIDA ENVASADA,,,,,,
2675,,,,,,,,,,,CHANCHO A LA CAJA CHINA,,,
2676,,VINAGRE DE MANZANA,,,,,,,,,,,,
2677,,,,,,,,HOJUELA DE AVENA PRECOCID,,,,,,
2678,,,,,,,ENTERO DE JUREL EN SALSA,,,,,,,
2679,,,,,,,,,,,,GALLETA SE SODA ENVASADA,,
2680,,,,,,,,Canela Entera,,,,,,
2681,,,,,,,,,,,,GALLETA DULCE A GRANEL,,
2682,,,,,,,TARWI MOLIDA PRECOCIDA A,,,,,,,
2683,,,,FILTRANTE DE TE JAZMIN,,,,,,,,,,
2684,,,,FILTRANTE SURTIDO,,,,,,,,,,
2685,,,,,,,,CANELA CHINA MOLIDA ENVAS,,,,,,
2686,,,,,,,,CACAO POLVO ORGÁNICO,,,,,,
2687,,,,,,,,CANELA CON CLAVO ENVASA,,,,,,
2688,,,,,,,,MACA AVENA PREPARADA,,,,,,
2689,,,,MUÑA EN FILTRANTE,,,,,,,,,,
2690,,,,,,,,,,LECHE EVAPORADA PARA GATO,,,,
2691,,,,,,,,,,,,GALLETA SALADA,,
2692,,,,,,,,,,,,GALLETAS RELLENAS ENVADO,,
2693,,,,MENTA FILTRANTE,,,,,,,,,,
2694,,MANZANA ROJA,,,,,,,,,,,,
2695,,,,,,,,,,,PATA DE CHANCHO PRECOCIDO,,,
2696,,,,,,,SALSA DE OSTION A GRANEL,,,,,,,
2697,,,,,,,,,,,LONJA DE CHANCHO,,,
2698,,VINAGRE MANZANA ENVASADA,,,,,,,,,,,,
2699,,,,,,,,,,,,GALLETAS RELLENA ENVASADA,,
2700,,,,,,,,,,,,GALLETA ENVASADA,,
2701,,,,UÑA DE GATO FILTRANTE,,,,,,,,,,
2702,,,,,,,,KIÓN EN POLVO,,,,,,
2703,,,,,,,,CANELA CLAVO DE COLOR ENT,,,,,,
2704,,,,UNA DE GATO FILTRANTE,,,,,,,,,,
2705,,,,,,,PIMIENTA MOLIDA ENVASADA,,,,,,,
2706,,,,,,,,,,LECHE EN POLVO CON AJONJO,,,,
2707,,,,,,,,,,MADURO CON QUESO,,,,
2708,,VINAGRE DE MANZANA A GRAN,,,,,,,,,,,,
2709,,,,,,,,,,,PIERNA DE CHANCHO,,,
2710,,,,,,,,HOJUELA AVENA A GRANEL,,,,,,
2711,,,,,,,,,,LECHE CONDENSADA ENVASADA,,,,
2712,,,,,,,,,,,PACHAMANCA DE CHANCHO,,,
2713,,,,,,,,,,,OREJITA DE CHANCHO,,,
2714,,PLATANOS,,,,,,,,,,,,
2715,,ESCENCIA DE MANZANA,,,,,,,,,,,,
2716,,,,,,,,CONCENTRADO EN POLVO,,,,,,
2717,,,,,,,,,,QUESO CREMA,,,,
2718,,,,FILTRANTES MIXTOS,,,,,,,,,,
2719,,,,,,,,,,QUESO PINTA,,,,
2720,,,,,,,,,,,,GALLETA SODA LAIGH ENVASA,,
2721,,PLATANO COCINADO,,,,,,,,,,,,
2722,,,,,,,ESPINACA MOLIDA A GRANEL,,,,,,,
2723,,,,,,,,,,,,GALLETAS BAÑADAS EN CHOCO,,
2724,,PLATANO PERITA,,,,,,,,,,,,
2725,,PLATANO ASADO,,,,,,,,,,,,
2726,,,,,,,SALSA DE OSTEON,,,,,,,
2727,,,,,,,,,,LECHE EVAPORADA EN CAJA,,,,
2728,,,,,,,,SAZONADOR EN POLVO TUCO,,,,,,
2729,,,,MUÑA FILTRANTE PARA INFUS,,,,,,,,,,
2730,,,,,,,PORTOLA EN SALSA DE TOMAT,,,,,,,
2731,,,,,,,,CANELA Y CLAVO ENVASADO,,,,,,
2732,,,,,,,,,,,,GALLETA WAFER ENVASADA,,
2733,,,,,,,,CANELA ENTERA CON CLAVO O,,,,,,
2734,,,,,,,,CANELA CLAVO ENTERO A GRA,,,,,,
2735,,,,,,,,,,,,GALLETAS INTEGRALES,,
2736,,,,,,,,CANELA CLAVO,,,,,,
2737,,,,,,,,,,,,GALLETAS,,
2738,,,,,,,,CANELA MOLIDA A GRANEL,,,,,,
2739,,,,,,,CLAVO DE OLOR ENTERO ENVA,,,,,,,
2740,,,,,,,,CANELA CALVO DE OLOR ENVA,,,,,,
2741,,,,,,,,,,,SOPA DE MOTE CON CHANCHO,,,
2742,,,,,,,SALSA DE OSTION ENVASADO,,,,,,,
2743,,,,,,,SALSA DE ROCOTO ENVASADO,,,,,,,
2744,,,,,,,,,,,ARROZ COLORADO CHANCHO FR,,,
2745,,,,,,,,HOJUELA DE AVENA A GRANEL,,,,,,
2746,,,,MUÑA FILTRANTE  EN CAJA,,,,,,,,,,
2747,,MANZANA SANTA ROSA,,,,,,,,,,,,
2748,,,,MENTA Y MUÑA FILTRANTE,,,,,,,,,,
2749,,,,,,,,AVENA FORRAJERA,,,,,,
2750,,,,,,,,,,LECHE SOYA PREPARADA,,,,
2751,,,,,,,,KION EN POLVO A GRANEL,,,,,,
2752,,,,,,,,CANELA ENTERA CHINA A GRA,,,,,,
2753,,MANZANA CAÑA GOLDEN,,,,,,,,,,,,
2754,,,,,,,,,,QUESO DESCREMADO,,,,
2755,,,,,,,,AVENA CON CHOCOLATE,,,,,,
2756,,,,,,,,,,,,GALLETA DE CHOCOLATE,,
2757,,,,BOLSO FILTRANTE,,,,,,,,,,
2758,,,,,,,,,,,CHICHARRÓN DE CHANCHO,,,
2759,,,,,,,,ZASONADOR EN POLVO ENVASA,,,,,,
2760,,,,,,,,,,LECHE CUAJADA,,,,
2761,,,,,,,,ACHIOTE EN POLVO,,,,,,
2762,,,,,,,,,,LECHE VITAMINADO ENVASADO,,,,
2763,,PLATANO SEDA,,,,,,,,,,,,
2764,,,,,,,CLAVO ENTERO ENVASADO,,,,,,,
2765,,,,,,,,TE CANELA CLAVO FILTRANTE,,,,,,
2766,,PLATANO SEDA ORGÁNICO,,,,,,,,,,,,
2767,,,,,,,CLAVO DE OLOR A GRANEL PA,,,,,,,
2768,,,,,,,,CANELA YCLAVO ENVASADO,,,,,,
2769,,,,,,,,CANELA Y CALVO ENVASADO,,,,,,
2770,,,,,,,,,,LECHE  MEZCLA LACTEA COMP,,,,
2771,,,,,,,,ALIMENTO EN POLVO ENVASAD,,,,,,
2772,,,,CEDRON FILTRANTE,,,,,,,,,,
2773,,,,,,,,CURCUMA EN POLVO  A GRANE,,,,,,
2774,,,,,,,CANEL CLAVO DE OLOR ENTER,,,,,,,
2775,,,,,,,,QUINUA AVENA ENVASADA,,,,,,
2776,,,,,,,,AVENA,,,,,,
2777,,,,,,,CEBADA MOLIDA,,,,,,,
2778,,,,TE DE DURAZNO FILTRANTE,,,,,,,,,,
2779,,,,,,,,QUINUA AVENA PREPARADA,,,,,,
2780,,,,,,,,CURCUMA EN POLVO,,,,,,
2781,,,,,,,,,,,HÍGADO DE CHANCHO,,,
2782,,,,,,,CANEL CON CLAVO,,,,,,,
2783,,PLATANO PARA FREIR,,,,,,,,,,,,
2784,,,,,,,,AVENA INTEGRAL AGRANEL,,,,,,
2785,,PLATANO PARA LORO,,,,,,,,,,,,
2786,,,,,,,,,,,,GALLETA DE ANIMALITOS,,
2787,,,,,,,,,,,,GALLETA DE ARROZ,,
2788,,,,,,,,,,,,GALLETA SALDADA ENVASADA,,
2789,,,,,,,,KIWICHA AVENA,,,,,,
2790,,,,,,,,AVENA ENVASADA INTEGRAL,,,,,,
2791,,MANZANA PACHACÁMAC,,,,,,,,,,,,
2792,,,,,,,,,,,,GALLETAS RELLENAS DULCE E,,
2793,,,,,,,,,,,,GALLETA RELLENA ENVASADA,,
2794,,,,,,,,,,QUESO GRANA PADANO,,,,
2795,,,,,,,,CANELA Y CLOVO DE OLOR A,,,,,,
2796,,,,,,,,CANELA Y CLAVO DE OLOR EN,,,,,,
2797,,PLATANO ISLA,,,,,,,,,,,,
2798,,,,,,,,,,AVENA CON LECHE,,,,
2799,,,,,,,,AVENA CON CHOCOLATE PREPA,,,,,,
2800,,,,,,,,CANELA Y  CLAVO DE OLOR,,,,,,
2801,,MANZANA  ROYAL,,,,,,,,,,,,
2802,,,,,,,SARDNILLA EN SALSA DE TOM,,,,,,,
2803,,,,,,,,,,,,GALLETA DULCE ENVASADA,,
2804,,,,HIERBA LUISA FILTRANTE PA,,,,,,,,,,
2805,,,,TE CON DURAZNO FILTRANTE,,,,,,,,,,
2806,,,,,,,,,,LECHE EVAPORADA ENTERA,,,,
2807,,,,,,,,CANELA ENTERA ENVASADO,,,,,,
2808,,,,,,,,CANELA ENTERA A GRANEL,,,,,,
2809,,,,,,,,,,LECHE LIGT EVAPORADA,,,,
2810,,,,,,,,CANELA Y CLAVO SUELTO,,,,,,
2811,,,,MENTA MUÑA FILTRANTE,,,,,,,,,,
2812,,,,,,,,,,,,GALLETAS BAÑADAS CON PAST,,
2813,,PLATANO,,,,,,,,,,,,
2814,,,,,,,,,,,TACACHO CON CHANCHO,,,
2815,,,,,,,,,,,,GALLETA RELLENA DULCE ENV,,
2816,,,,CAJA DE ANIS FILTRANTE,,,,,,,,,,
2817,,,,,,,,,,LECHE DE SOYA DESLACTOSAD,,,,
2818,,,,,,,,,,,,GALLETA BAÑADA EN CHOCOLA,,
2819,,MANZANA ROYAL,,,,,,,,,,,,
2820,,,,,,,SALSA DE OCOPA ENVASADA,,,,,,,
2821,,,,FILTRANTES VARIOS,,,,,,,,,,
2822,,,,CAJA DE FILTRANTE,,,,,,,,,,
2823,,,,,,,,QUINUA AVENA ENVASADO,,,,,,
2824,,,,,,,SARDINILLAS EN SALSA DE T,,,,,,,
2825,,,,,,,ALBAHACA MOLIDA A HRANDL4,,,,,,,
2826,,PLATANO LARGO,,,,,,,,,,,,
2827,,,,,,,,,,,,GALLETAS HORNEADAS PARA P,,
2828,,,,,,,,,,CHIVATO CON QUESO,,,,
2829,,,,,,,,,,,CHANCHO AL PALO,,,
2830,,,,,,,,,,Leche de soya (con Lactos,,,,
2831,,,,,,,,CANELA ENTERA Y CLAVO DE,,,,,,
2832,,,,,,,TARWI MOLIDA PRECOSIDA A,,,,,,,
2833,,,,,,,,AVENA INSTANTÁNEA,,,,,,
2834,,MANZANA DELISIA,,,,,,,,,,,,
2835,,,,TE DE VALERIANA FILTRANTE,,,,,,,,,,
2836,,PLATANO FRITO,,,,,,,,,,,,
2837,,,,,,,,,,GALLETA DE LECHE,,,,
2838,,,,,,,,,,,HUESO DE CHANCHO AHUMADO,,,
2839,,,,DIENTE DE LEON FILTRANTE,,,,,,,,,,
2840,,,,,,,,SAZONDOR EN POLVO TUCO EN,,,,,,
2841,,,,,,,,CURCUMA EN POLVO SUELTO,,,,,,
2842,,,,,,,,,,,,GALLETA SALADA ENVASADA,,
2843,,MANZANA CONFITADA,,,,,,,,,,,,
2844,,,,,,,COMINO PIMIENTA MOLIDA EN,,,,,,,
2845,,,,,,,,ZASONADOR  EN POLVO TUCO,,,,,,
2846,,,,FILTRANTES SURTIDOS DE FR,,,,,,,,,,
2847,,,,,,,,AVENA INTEGRAL,,,,,,
2848,,PLATANO DE SEDA PARA LORO,,,,,,,,,,,,
2849,,,,,,,,CANELA Y CLAVÓ,,,,,,
2850,,,,,,,,,,,,GALLETAS SALADAS ENVASADA,,
2851,,,,,,,,TE CANELA Y CLAVO  DE OLO,,,,,,
2852,,,,,,,JUREL ENTERO EN SALSA DE,,,,,,,
2853,,,,,,,,,,,SANGRE DE CHANCHO,,,
2854,,,,,,,,,,,,GALLETAS ARROZ,,
2855,,,,,,,,,,PALITOS DE QUESO,,,,
2856,,,,,,,,,,QUESO DE CHAMCHO,,,,
2857,,,,,,,,,,QUESO DE CHANCHO A GRANEL,,,,
2858,,,,,,,,,,,TRIPAS DE CHANCHO AHUMADO,,,
2859,,,,,,,,CANELA CLAVO OLOR ENTERO,,,,,,
2860,,,,,,,,,,,COSTILLA DE CHANCHO,,,
2861,,,,,,,,,,MAZAMORRA CON LECHE,,,,
2862,,,,,,,,MEZCLA QUINUA AVENA KIWIC,,,,,,
2863,,PLATANO BEYACO,,,,,,,,,,,,
2864,,,,,,,CANA Y CLAVO ENVASA,,,,,,,
2865,,,,,,,,SAZONADOR EN POLVO,,,,,,
2866,,,,FILTRANTES COMBINADO,,,,,,,,,,
2867,,,,,,,,,,,CECINA DE CHANCHO CHACTAD,,,
2868,,,,,,,,,,TRIGO CON LECHE,,,,
2869,,,,,,,,CACAO EN POLVO,,,,,,
2870,,,,CAFE FILTRANTE,,,,,,,,,,
2871,,,,,,,,,,QUESO EDAN BONLE,,,,
2872,,,,,,,,,,LECHE MULTIVITANICO,,,,
2873,,,,,,,,,,,CHANCHO FRITO Y MOTE,,,
2874,,,,,,,SALSA DE OCOPA A GRANEL,,,,,,,
2875,,,,,,,,CANELA Y CLAVO ENTERO ENV,,,,,,
2876,,,,,,,,,,,,INTEGRALES GALLETAS CEREA,,
2877,,,,,,,SALSA DE OCOPA (A GRANEL,,,,,,,
2878,,,,,,,,,,,,GALLETA OREO,,
2879,,,,,,,,,,,CABEZA DECHANCHO,,,
2880,,,,,,,,CANELA ENTERA ENVASADA,,,,,,
2881,,,,,,,SALSA TAUSI,,,,,,,
2882,,,,,,,,CANELA Y CLAVO DE OLOR A,,,,,,
2883,,,,TE SNIS MANZA FILTRANTEV,,,,,,,,,,
2884,,,,,,,,,,,,GALLETAS LAITH,,
2885,,,,,,,SALSA MENSI ENVASADO,,,,,,,
2886,,,,,,,,,,QUESO ARENOSO,,,,
2887,,,,,,,SARDINA ENTERA EN SALSA D,,,,,,,
2888,,,,,,,,,,QUESO CREMAV,,,,
2889,,,,,,,,HOJUELAS DE AVENA,,,,,,
2890,,PLATANO ORGANICO,,,,,,,,,,,,
2891,,,,,,,,,,,,GALLETAS CON AJONJOLÍ,,
2892,,,,,,,ZANAHORIA MOLIDA,,,,,,,
2893,,PLATANO DE SEDA PARA TORT,,,,,,,,,,,,
2894,,,,,,,,,,QUESO PASTEURIZADO,,,,
2895,,,,TORONGIL EN FILTRANTE,,,,,,,,,,
2896,,,,,,,,,,GALLETAS DE LECHE,,,,
2897,,,,,,,ESPINACA ALBAHACA MOLIDA,,,,,,,
2898,,PLATANO DE FREIR,,,,,,,,,,,,
2899,,,,,,,,,,QUESO MOZARELLA,,,,
2900,,,,,,,,ACHIOTE EN POLVO A GRANEL,,,,,,
2901,,,,,,,,,,,,GALLETAS DULCES A GRANEL,,
2902,,,,DURAZNO FILTRANTE PARA IN,,,,,,,,,,
2903,,,,,,,,HOJYELA DE AVENA PRECOCID,,,,,,
2904,,,,,,,,,,GALLETAS DE LECHE A GRANE,,,,
2905,,,,MATE DE COCA FILTRANTE,,,,,,,,,,
2906,,,,,,,,,,,CUERO DE CHANCHO DOBLE,,,
2907,,,,,,,,HOREGANO EN POLVO ENVASAD,,,,,,
2908,,,,,,,ALBAHACA MOLIDA,,,,,,,
2909,,STRUDEL DE MANZANA,,,,,,,,,,,,
2910,,,,,,,,CANELA Y CLAVO ENVASDA,,,,,,
2911,,,,,,,CLAVO DE OLOR ENVASADA,,,,,,,
2912,,,,,,,,,,LECHE DESLACTOSADA,,,,
2913,,,,,,,,CANELA Y CLAVO DE OLOR  E,,,,,,
2914,,,,,,,,,,LECHE EVAPORADA ENRIQUCID,,,,
2915,,,,,,,PIMENTA MOLIDA A GRANEL,,,,,,,
2916,,PASTEL DE MANZANA,,,,,,,,,,,,
2917,,,,,,,,,,,,GALLETA RELLENA,,
2918,,,,,,,,AVENA CON ALGARROBINA ENV,,,,,,
2919,,,,,,,,,,SANDWICH DE JAMON Y QUESO,,,,
2920,,,,MORA FILTRANTE,,,,,,,,,,
2921,,,,,,,,,,,,GALLETAS DE FIGURITAS ENV,,
2922,,,,,,,,,,,MANTECA DE CHANCHO,,,
2923,,,,,,,,AVENA A GRANEL PARA MASCO,,,,,,
2924,,,,,,,,QUIWICHA AVENA,,,,,,
2925,,,,,,,,SAZONADOR TUCO EN POLVO E,,,,,,
2926,,,,,,,,,,QUESO CHANCHO,,,,
2927,,,,,,,,,,QUESO PARIA DE PUNO,,,,
2928,,,,,,,,,,,,GALLETAS DULCES ENVASADA,,
2929,,,,ANIS FILTRANTES,,,,,,,,,,
2930,,,,,,,,,,,,GALLETA DE SODA ENVASADO,,
2931,,,,,,,,,,,CUERO DE CHANCHO AHUMADO,,,
2932,,,,,,,,PALILLO EN POLVO A GRANEL,,,,,,
2933,,,,,,,COMINO PIMIENTA MOLIDA GR,,,,,,,
2934,,,,,,,JUREL EN SALSA DE TOMATE,,,,,,,
2935,,,,,,,,CHOCO AVENA ENVASADO,,,,,,
2936,,,,,,,,,,QUESO FRITO,,,,
2937,,,,,,,,,,PALITOS DE QUESO ENVASADO,,,,
2938,,,,,,,,PIMIENTO EN POLVO,,,,,,
2939,,,,,,,,,,LECHE ASADA,,,,
2940,,,,,,,,,,,,GALLETAS RELLENAS DULCES,,
2941,,,,,,,ESPINACA MOLIDA  A GRANEL,,,,,,,
2942,,,,,,,ESPINACA MOLIDA CULANTRO,,,,,,,
2943,,,,,,,,CANELA CON CLAVO,,,,,,
2944,,PLATANO SE SEDA,,,,,,,,,,,,
2945,,,,TE DE NARAJA FILTRANTE,,,,,,,,,,
2946,,,,,,,SALSA DE TAMARINDO,,,,,,,
2947,,,,,,,,,,,CHANCHO AHUMADO,,,
2948,,MANZANAS ACARAMELADAS,,,,,,,,,,,,
2949,,,,TE ROJO FILTRANTE,,,,,,,,,,
2950,,,,,,,,,,,COSTUMBRE DE CHANCHO PREC,,,
2951,,,,,,,,CANELA CON CLAVO DE OLOR,,,,,,
2952,,,,,,,,,,,PATAS DE CHANCHO,,,
2953,,,,SUEÑO PROFUNDO FILTRANTE,,,,,,,,,,
2954,,,,,,,,,,,,GALLETAS CALA,,
2955,,,,,,,,SAZONADOR TUCO EN POLVO M,,,,,,
2956,,,,,,,,,,,,GALLETA DE CHOCOLATE ENVA,,
2957,,,,,,,,,,,,GALLETA INTEGRAL ENVASADO,,
2958,,,,,,,,,,GALLETA DE LECHE A GRANEL,,,,
2959,,PLATANO PARA MONO,,,,,,,,,,,,
2960,,,,,,,,KION EN POLVO ENVASADO,,,,,,
2961,,,,,,,,PALILLO EN POLVO ENVASADO,,,,,,
2962,,,,,,,SARDINAS EN SALSA DE TOMA,,,,,,,
2963,,PLATANO MADURA ASADO CON,,,,,,,,,,,,
2964,,,,,,,,,,,PELLEJO DE CHANCHO REVENT,,,
2965,,,,,,,CLAVO DE OLOR ENVASADO,,,,,,,
2966,,,,,,,,CANELA ENTERA PARA INFUSI,,,,,,
2967,,,,,,,,CANELA YN LAVO DE OLOR EN,,,,,,
2968,,,,,,,COMINO Y PIMIENTA MOLIDA,,,,,,,
2969,,,,,,,,,,QUESO FUNDIDO ENVASADO,,,,
2970,,,,,,,,AVENA CON MACA ENVASADA,,,,,,
2971,,,,,,,SARDINA EN SALSA DE  TOMA,,,,,,,
2972,,,,,,,,,,HUESITOS DE LECHE PARA P,,,,
2973,,,,,,,,,,LECHE CORTADA,,,,
2974,,,,,,,,,,LECHE EVAPORADA NAM,,,,
2975,,,,JAMAICA FILTRANTE,,,,,,,,,,
2976,,,,,,,,CANELA Y CLAVO ENTERA ENV,,,,,,
2977,,,,,,,PIMIENTA MOLIDA A GRANEL,,,,,,,
2978,,,,,,,,,,,,GALLETA DE COCO,,
2979,,,,,,,,AVENA GRANO ENTERO,,,,,,
2980,,,,,,,,CANELA Y CLAVO DE OLOR E,,,,,,
2981,,,,,,,,,,QUESO DE CABRA,,,,
2982,,MANZANA CHICLENA,,,,,,,,,,,,
2983,,MANZANA CAÑA,,,,,,,,,,,,
2984,,,,,,,,,,LECHE ENTERA DESLACTOSADA,,,,
2985,,,,,,,,CANELA ENTERA Y CLAVO ENV,,,,,,
2986,,,,,,,,CANELA Y VLAVO ENVASADO,,,,,,
2987,,,,,,,,,,,,GALLETA SALADA RITZ,,
2988,,,,,,,,,,,,GALLETA ÍNTEGRA,,
2989,,,,MATE DIGESTIVO FILTRANTE,,,,,,,,,,
2990,,,,ANIS EN CAJA FILTRANTE,,,,,,,,,,
2991,,,,,,,,CANELA Y CLAVO DE OLOR,,,,,,
2992,,,,,,,COMINO  Y PIMIENTA MOLIDA,,,,,,,
2993,,,,,,,TARWI MOLIDA,,,,,,,
2994,,PAI DE MANZANA,,,,,,,,,,,,
2995,,,,MIXTURA DE FILTRANTES,,,,,,,,,,
2996,,,,,,,,,,,PATA DE CHANCHO PRECOCIDA,,,
2997,,,,,,,TARWI MOLIDA PRECOCIDO A,,,,,,,
2998,,,,,,,,,,QUESO EDAN PAUSTERIZADO,,,,
2999,,,,,,,,MEZCLA LACTEA EN POLVO EN,,,,,,
3000,,,,,,,,ZASONADOR TUCO EN POLVO E,,,,,,
3001,,,,,,,,,,,CHICHARRON DE CHANCHO,,,
3002,,,,JAZMIN FILTRANTE,,,,,,,,,,
3003,,,,,,,,,,,,GALLETAS DULCES RELLENAS,,
3004,,,,,,,SOYA MOLIDA A GRANEL,,,,,,,
3005,,,,,,,,,,LECHE DE ALMENDRA,,,,
3006,,,,,,,,AVENA INTEGRAL ENVADADA,,,,,,
3007,,,,,,,,CANELA CLAVO DE OLOR,,,,,,
3008,,,,,,,SALSA TAUSI ENVASADO,,,,,,,
3009,,,,,,,,,,MACA QUINUA LECHE PREPARA,,,,
3010,,,,MUÑA FILTRANTE,,,,,,,,,,
3011,,,,,,,,,,,,GALLETAS SALADAS CREAM CR,,
3012,,,,BOLDO FILTRANTE ARA INFUS,,,,,,,,,,
3013,,,,,,,,AVENA CON ALGARROBINA,,,,,,
3014,,,,,,,,,,ARROZ CON LECHE Y MAZAMOR,,,,
3015,,,,,,,,AVENA A GRANEL,,,,,,
3016,,,,,,,,,,,PATA DE CHANCHO AHUMADA,,,
3017,,,,,,,,CANELA MOLIDA CHINA ENVAS,,,,,,
3018,,,,,,,,,,QUESO CHEDAR,,,,
3019,,,,,,,,,,QUESO FUNDIDO EN TAJADAS,,,,
3020,,,,,,,,,,,,GALLETA DE FIGURITAS ENVA,,
3021,,,,,,,,,,QUESO DE NATA MANTECOSO,,,,
3022,,MANZANA CAMUESA,,,,,,,,,,,,
3023,,,,COMBINACIÓN DE FILTRANTE,,,,,,,,,,
3024,,,,,,,,CANELACLAVO DE OLOR ENTER,,,,,,
3025,,,,,,,,,,LECHE EVAPORADA DE SOYA,,,,
3026,,,,,,,,,,,,GALLETAS INTEGRALES CON M,,
3027,,,,,,,,,,QUESO AHUMADO,,,,
3028,,,,,,,,CANELA CON CLAVO A GRANEL,,,,,,
3029,,,,,,,,,,,MOTE CON CHANCHO,,,
3030,,,,,,,,CANELA CLAVO DE OLOR ENVA,,,,,,
3031,,,,,,,,,,LECHE MATERNIZADA  ENFAGR,,,,
3032,,,,Te Filtrante,,,,,,,,,,
3033,,,,,,,,,,,CHANCHO EN PIE,,,
3034,,,,,,,SALSA DE SOYA ADEREZADA E,,,,,,,
3035,,,,,,,,CANELA EN INFUSION,,,,,,
3036,,,,,,,,,,QUINUA CON LECHE PREPARAD,,,,
